Source.Name,Column1,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,contain_love,contain_god,contain_jesus,contain_heart,contain_king
The Worship Initiative.xlsx,1,"The Worship Initiative, Vol. 20",2,3iJtDIsSewfYCOAAsS83A8,The Passion,spotify:track:3iJtDIsSewfYCOAAsS83A8,0.039,0.397,0.555,0.000019,0.14,-10.267,0.0321,139.994,0.22,41,0,0,0,0,0
The Worship Initiative.xlsx,2,"The Worship Initiative, Vol. 20",3,1bh87O0kPCwdmxI5XZNTft,You Cannot Be Stopped,spotify:track:1bh87O0kPCwdmxI5XZNTft,0.0167,0.491,0.543,0.0000338,0.0976,-11.525,0.0354,90.968,0.142,41,0,0,0,0,0
The Worship Initiative.xlsx,137,"The Worship Initiative, Vol. 12",2,1k82nFZmbpjylbEP8m2Pme,Jesus We Love You,spotify:track:1k82nFZmbpjylbEP8m2Pme,0.472,0.492,0.383,0,0.0877,-8.229,0.0319,116.099,0.282,41,1,0,1,0,0
Cory Asbury.xlsx,6,Reckless Love,7,6zHbOWurGnomKVUgdYHgnc,Garments,spotify:track:6zHbOWurGnomKVUgdYHgnc,0.676,0.498,0.475,0,0.0929,-8.733,0.0417,155.946,0.194,41,0,0,0,0,0
Citipointe Live.xlsx,18,Into the Deep (Live),5,14mqbFnH4NAAm1G2kPtdix,Heart Open Wide (Live),spotify:track:14mqbFnH4NAAm1G2kPtdix,0.00252,0.448,0.732,0.00000183,0.494,-6.611,0.0317,146.005,0.0802,41,0,0,0,1,0
Tori Kelly.xlsx,6,Inspired by True Events (Deluxe Edition),7,1I6AD69lCrds2n9BkaHDAS,Kid I Used To Know,spotify:track:1I6AD69lCrds2n9BkaHDAS,0.0138,0.708,0.368,0,0.118,-8.196,0.0446,82.014,0.549,41,0,0,0,0,0
Tori Kelly.xlsx,7,Inspired by True Events (Deluxe Edition),8,61scwpL04TL00QMv2EY9Tz,Pretty Fades,spotify:track:61scwpL04TL00QMv2EY9Tz,0.0379,0.791,0.486,0.00000531,0.0948,-8.769,0.226,84.969,0.593,41,0,0,0,0,0
Tori Kelly.xlsx,12,Inspired by True Events (Deluxe Edition),13,6b7LnN8cHzvTBMhMevsT4L,Until I Think Of You,spotify:track:6b7LnN8cHzvTBMhMevsT4L,0.34,0.557,0.395,0.00000499,0.101,-6.33,0.0382,75.074,0.146,41,0,0,0,0,0
Tori Kelly.xlsx,16,Inspired by True Events (Deluxe Edition),17,5ocKmtBYJDMJBKGulozx8n,Until Forever,spotify:track:5ocKmtBYJDMJBKGulozx8n,0.0589,0.676,0.592,0.00000328,0.0891,-7.493,0.058,105.091,0.318,41,0,0,0,0,0
Tori Kelly.xlsx,107,Foreword,1,2tVb4P6lYZhH3sCnnWoDTD,Rocket,spotify:track:2tVb4P6lYZhH3sCnnWoDTD,0.255,0.588,0.356,0,0.141,-11.126,0.0345,109.819,0.0741,41,0,0,0,0,0
Tori Kelly.xlsx,109,Foreword,3,5rOedrAmTm10P624TWXK9K,Treasure,spotify:track:5rOedrAmTm10P624TWXK9K,0.32,0.466,0.587,0.00244,0.125,-8.292,0.173,90.107,0.204,41,0,0,0,0,0
Tenth Avenue North.xlsx,92,Over And Underneath,1,26XGTmA0kbHdSRyD7l7Y5Q,Love Is Here,spotify:track:26XGTmA0kbHdSRyD7l7Y5Q,0.00169,0.371,0.712,0,0.346,-5.355,0.0325,146.202,0.3,41,1,0,0,0,0
Tenth Avenue North.xlsx,97,Over And Underneath,6,7bDhyD2NkZXPcebpTZj2fP,Hold My Heart,spotify:track:7bDhyD2NkZXPcebpTZj2fP,0.0122,0.462,0.661,0,0.0678,-4.656,0.0312,118.032,0.187,41,0,0,0,1,0
Newsboys.xlsx,81,Restart,2,2xJ6nSBQ1eIK395p1PLC7i,Restart,spotify:track:2xJ6nSBQ1eIK395p1PLC7i,0.034,0.676,0.846,0,0.325,-4.02,0.037,129.983,0.652,41,0,0,0,0,0
Newsboys.xlsx,178,God's Not Dead,10,4iqAxXqA29Yp13Y4FRtrHM,Mighty To Save,spotify:track:4iqAxXqA29Yp13Y4FRtrHM,0.00312,0.384,0.874,0,0.117,-4.554,0.0412,154.015,0.535,41,0,0,0,0,0
"Will Reagan, United Pursuit.xlsx",39,Tell All My Friends,5,7cxXXzT8n0YVstjvCvcsCA,Speak to the Silence,spotify:track:7cxXXzT8n0YVstjvCvcsCA,0.373,0.665,0.26,0.000252,0.0964,-10.648,0.0313,113.898,0.269,41,0,0,0,0,0
"Will Reagan, United Pursuit.xlsx",49,Simple Gospel B-Sides,5,3J7vBrecAaQpAf5CpbXpj4,Take a Moment (Live) [feat. Will Reagan],spotify:track:3J7vBrecAaQpAf5CpbXpj4,0.0846,0.477,0.688,0.000248,0.0829,-9.879,0.0661,139.756,0.186,41,0,0,0,0,0
"Will Reagan, United Pursuit.xlsx",57,Simple Gospel (Live),2,5N9ZuQsZFmbSOEZ5vKgSWe,Your Love Changes Everything (Live) [feat. Brock Human],spotify:track:5N9ZuQsZFmbSOEZ5vKgSWe,0.166,0.527,0.403,0,0.373,-9.628,0.03,143.964,0.312,41,1,0,0,0,0
"Will Reagan, United Pursuit.xlsx",100,Endless Years,15,1ITTPORggkMQE0wdu8aqmS,Through and Through,spotify:track:1ITTPORggkMQE0wdu8aqmS,0.00799,0.0975,0.21,0.735,0.0752,-15.954,0.038,68.729,0.044,41,0,0,0,0,0
"Will Reagan, United Pursuit.xlsx",132,Radiance,10,6pVNIjF6BdgZP0VvxWuq8P,Running In Circles (feat. Will Reagan),spotify:track:6pVNIjF6BdgZP0VvxWuq8P,0.759,0.361,0.139,0.0000232,0.135,-11.53,0.0364,109.777,0.129,41,0,0,0,0,0
Casting Crowns.xlsx,44,The Very Next Thing,9,3EWv66RNUPkc1NT5lVSLqF,Song That the Angels Can't Sing,spotify:track:3EWv66RNUPkc1NT5lVSLqF,0.453,0.613,0.695,0,0.119,-5.97,0.0329,109.99,0.519,41,0,0,0,0,0
Casting Crowns.xlsx,79,Thrive,8,29QonORHg3jk91TBY48PdL,Dream for You,spotify:track:29QonORHg3jk91TBY48PdL,0.0891,0.679,0.713,0,0.185,-6.024,0.0432,114.083,0.422,41,0,0,0,0,0
Casting Crowns.xlsx,159,The Altar and The Door,6,2gycs5xVPY5nGehg0jEsCV,The Altar And The Door,spotify:track:2gycs5xVPY5nGehg0jEsCV,0.115,0.6,0.661,0.00000166,0.0616,-6.083,0.0299,119.024,0.301,41,0,0,0,0,0
Casting Crowns.xlsx,202,Lifesong,4,0VYDTgzNqIwwze0GiulsUH,Stained Glass Masquerade,spotify:track:0VYDTgzNqIwwze0GiulsUH,0.06,0.328,0.754,0,0.0924,-7.122,0.0489,175.534,0.219,41,0,0,0,0,0
Casting Crowns.xlsx,203,Lifesong,5,0dgxnoVuTcjmd62E86tgQr,Love Them Like Jesus,spotify:track:0dgxnoVuTcjmd62E86tgQr,0.181,0.371,0.448,0.00000896,0.101,-9.35,0.0269,158.055,0.189,41,1,0,1,0,0
Kings Kaleidescope.xlsx,1,Zeal,2,65n5c9RXY97oVEoUjrXbbB,Hero Over My Head,spotify:track:65n5c9RXY97oVEoUjrXbbB,0.141,0.452,0.872,0.0000125,0.874,-5.244,0.113,166.22,0.49,41,0,0,0,0,0
Kings Kaleidescope.xlsx,7,Zeal,8,2Yto62DA425D5EDncD4nBL,Same Blood,spotify:track:2Yto62DA425D5EDncD4nBL,0.433,0.617,0.689,0.0000161,0.12,-4.565,0.117,92.464,0.661,41,0,0,0,0,0
Kings Kaleidescope.xlsx,9,Zeal,10,1GnsICpgOtl6bcqCTs7UCc,"Jumping from Jaded Heights (The Rush, Pt. 2)",spotify:track:1GnsICpgOtl6bcqCTs7UCc,0.647,0.423,0.519,0.127,0.603,-7.651,0.0431,82.063,0.138,41,0,0,0,0,0
Kings Kaleidescope.xlsx,11,Zeal,12,5GkXehgbVpoEPCnVf840be,Oxygen,spotify:track:5GkXehgbVpoEPCnVf840be,0.742,0.325,0.644,0.6,0.0887,-9.684,0.0735,134.742,0.22,41,0,0,0,0,0
Kings Kaleidescope.xlsx,131,Becoming Who We Are,16,0riYqoPgQ6dhdst37mity0,How Deep,spotify:track:0riYqoPgQ6dhdst37mity0,0.0512,0.414,0.462,0.0113,0.0685,-10.477,0.0405,122.064,0.488,41,0,0,0,0,0
Selah.xlsx,123,You Deliver Me,15,7pGHdflKgwTUOfXwsBrCAP,I Will Carry You (Audrey's Song),spotify:track:7pGHdflKgwTUOfXwsBrCAP,0.914,0.268,0.115,0.00000252,0.0972,-11.729,0.0343,79.774,0.167,41,0,0,0,0,0
Christy Nockels.xlsx,42,Be Held : Lullabies for the Beloved,14,3NujnK282Ccgvy5RHREDLf,Close Your Eyes,spotify:track:3NujnK282Ccgvy5RHREDLf,0.968,0.669,0.0783,0.000396,0.0928,-18.551,0.0366,87.941,0.364,41,0,0,0,0,0
Audrey Assad.xlsx,30,Inheritance (Deluxe Edition),12,45EtA4lstHKAfEWAwRwYdN,Softly and Tenderly,spotify:track:45EtA4lstHKAfEWAwRwYdN,0.985,0.245,0.101,0.00127,0.105,-12.473,0.0344,177.887,0.204,41,0,0,0,0,0
Shane & Shane.xlsx,1,"The Worship Initiative, Vol. 20",2,3iJtDIsSewfYCOAAsS83A8,The Passion,spotify:track:3iJtDIsSewfYCOAAsS83A8,0.039,0.397,0.555,0.000019,0.14,-10.267,0.0321,139.994,0.22,41,0,0,0,0,0
Shane & Shane.xlsx,2,"The Worship Initiative, Vol. 20",3,1bh87O0kPCwdmxI5XZNTft,You Cannot Be Stopped,spotify:track:1bh87O0kPCwdmxI5XZNTft,0.0167,0.491,0.543,0.0000338,0.0976,-11.525,0.0354,90.968,0.142,41,0,0,0,0,0
Shane & Shane.xlsx,13,Hymns in the Round,4,2xBp420hZXDHf0vIF3SHWv,Living Waters (As the Deer) [Acoustic],spotify:track:2xBp420hZXDHf0vIF3SHWv,0.679,0.521,0.534,0.00557,0.162,-8.938,0.0298,83.968,0.466,41,0,0,0,0,0
Shane & Shane.xlsx,19,Hymns in the Round,10,3weW7TukvWxLgGFgzlXveP,All I Have Is Christ (Acoustic),spotify:track:3weW7TukvWxLgGFgzlXveP,0.719,0.454,0.263,0.0000378,0.107,-9.757,0.0321,117.97,0.179,41,0,0,0,0,0
Shane & Shane.xlsx,103,Hymns Live,2,7poa7ZWG5aJ8sE9a8ZQln5,Tis so Sweet (Live),spotify:track:7poa7ZWG5aJ8sE9a8ZQln5,0.683,0.442,0.388,0.0000102,0.139,-10.186,0.0286,101.99,0.215,41,0,0,0,0,0
Shane & Shane.xlsx,112,Hymns Live,11,7DcGVBpRxFQZ2mliJnBdNl,There Is a Fountain (Full of Love) [Live],spotify:track:7DcGVBpRxFQZ2mliJnBdNl,0.751,0.489,0.376,0.00143,0.688,-10.297,0.0326,126.006,0.139,41,1,0,0,0,0
Shane & Shane.xlsx,113,Hymns Live,12,3zmPTvJgeYFrCnHvxopqHx,My Worth Is Not in What I Own (Live),spotify:track:3zmPTvJgeYFrCnHvxopqHx,0.732,0.485,0.53,0.00000101,0.694,-7.517,0.0388,123.998,0.172,41,0,0,0,0,0
Shane & Shane.xlsx,128,"Hymns, Vol. 1",4,5yZcK6LIBxD6Ia5vYuEr6v,Come Thou Fount (Above All Else),spotify:track:5yZcK6LIBxD6Ia5vYuEr6v,0.581,0.537,0.348,0,0.176,-9.276,0.0315,130.151,0.238,41,0,0,0,0,0
Shane & Shane.xlsx,146,"The Worship Initiative, Vol. 12",2,1k82nFZmbpjylbEP8m2Pme,Jesus We Love You,spotify:track:1k82nFZmbpjylbEP8m2Pme,0.472,0.492,0.383,0,0.0877,-8.229,0.0319,116.099,0.282,41,1,0,1,0,0
Shane & Shane.xlsx,164,Psalms Live,8,0A9nhLgh2KWCuiUlHQciTp,Psalm 63 (Live),spotify:track:0A9nhLgh2KWCuiUlHQciTp,0.198,0.532,0.632,0.000559,0.279,-7.501,0.0324,72.992,0.262,41,0,0,0,0,0
Shane & Shane.xlsx,165,Psalms Live,9,5ug4MvGi46m9ZnDBjk29UU,Psalm 23 (Live),spotify:track:5ug4MvGi46m9ZnDBjk29UU,0.378,0.482,0.33,0.000162,0.368,-8.408,0.0286,110.071,0.133,41,0,0,0,0,0
Shane & Shane.xlsx,168,Psalms Live,12,7yTt2LCXmLFbERuC4cSL88,No Longer Slaves (Live),spotify:track:7yTt2LCXmLFbERuC4cSL88,0.0967,0.467,0.583,0.000238,0.372,-6.601,0.0309,147.688,0.281,41,0,0,0,0,0
Shane & Shane.xlsx,181,"Psalms, Vol. 2",2,3EWCQ11cjcgjKOCJFXTKuz,Psalm 45 (Fairest of All),spotify:track:3EWCQ11cjcgjKOCJFXTKuz,0.176,0.262,0.352,0,0.0823,-10.072,0.0317,142.305,0.0991,41,0,0,0,0,0
Rend Collective.xlsx,26,Good News (Deluxe Edition),1,5UVRphsKowv9A6uTFmmv4o,Life Is Beautiful,spotify:track:5UVRphsKowv9A6uTFmmv4o,0.0333,0.455,0.832,0,0.474,-4.786,0.0716,145,0.404,41,0,0,0,0,0
United Pursuit.xlsx,39,Tell All My Friends,5,7cxXXzT8n0YVstjvCvcsCA,Speak to the Silence,spotify:track:7cxXXzT8n0YVstjvCvcsCA,0.373,0.665,0.26,0.000252,0.0964,-10.648,0.0313,113.898,0.269,41,0,0,0,0,0
United Pursuit.xlsx,49,Simple Gospel B-Sides,5,3J7vBrecAaQpAf5CpbXpj4,Take a Moment (Live) [feat. Will Reagan],spotify:track:3J7vBrecAaQpAf5CpbXpj4,0.0846,0.477,0.688,0.000248,0.0829,-9.879,0.0661,139.756,0.186,41,0,0,0,0,0
United Pursuit.xlsx,57,Simple Gospel (Live),2,5N9ZuQsZFmbSOEZ5vKgSWe,Your Love Changes Everything (Live) [feat. Brock Human],spotify:track:5N9ZuQsZFmbSOEZ5vKgSWe,0.166,0.527,0.403,0,0.373,-9.628,0.03,143.964,0.312,41,1,0,0,0,0
United Pursuit.xlsx,100,Endless Years,15,1ITTPORggkMQE0wdu8aqmS,Through and Through,spotify:track:1ITTPORggkMQE0wdu8aqmS,0.00799,0.0975,0.21,0.735,0.0752,-15.954,0.038,68.729,0.044,41,0,0,0,0,0
United Pursuit.xlsx,132,Radiance,10,6pVNIjF6BdgZP0VvxWuq8P,Running In Circles (feat. Will Reagan),spotify:track:6pVNIjF6BdgZP0VvxWuq8P,0.759,0.361,0.139,0.0000232,0.135,-11.53,0.0364,109.777,0.129,41,0,0,0,0,0
Elevation Worship.xlsx,4,Aleluya (En La Tierra),5,7dimXs7O4MhSYcLhb0Xfkd,Encuéntrame Otra Vez (Here Again),spotify:track:7dimXs7O4MhSYcLhb0Xfkd,0.0352,0.261,0.362,0,0.0916,-9.589,0.0333,135.468,0.0771,41,0,0,0,0,0
Elevation Worship.xlsx,5,Aleluya (En La Tierra),6,78jxDlqZ58cDa9Ty04yebG,Eco (Echo),spotify:track:78jxDlqZ58cDa9Ty04yebG,0.0807,0.63,0.782,0,0.073,-5.957,0.0365,103.896,0.598,41,0,0,0,0,0
Elevation Worship.xlsx,58,There Is a Cloud,6,2z31Jwh0os8TRIoX9PtfXc,He Is Lord,spotify:track:2z31Jwh0os8TRIoX9PtfXc,0.000806,0.406,0.765,0.0000015,0.79,-5.397,0.0316,162.179,0.266,41,0,0,0,0,0
Elevation Worship.xlsx,79,Here As In Heaven,10,2scOr1kOgK7AxNQm5f0wiG,First and Only,spotify:track:2scOr1kOgK7AxNQm5f0wiG,0.0259,0.223,0.52,0,0.141,-6.791,0.0313,148.115,0.0996,41,0,0,0,0,0
The Gray Havens.xlsx,20,She Waits,1,35b1PCFxHkgod2jcSQR2WB,She Waits,spotify:track:35b1PCFxHkgod2jcSQR2WB,0.864,0.281,0.312,0.00236,0.0961,-11.518,0.0323,177.006,0.0777,41,0,0,0,0,0
The Gray Havens.xlsx,51,Ghost of a King,7,1rAAfzCPlKPM8WD08dRaD4,This My Soul,spotify:track:1rAAfzCPlKPM8WD08dRaD4,0.269,0.527,0.489,0.0000125,0.107,-8.45,0.0341,94.043,0.3,41,0,0,0,0,0
Planetshakers.xlsx,27,Rain,1,3988EhgXn7aa1m1HncBZa6,Only Way - Live,spotify:track:3988EhgXn7aa1m1HncBZa6,0.000204,0.525,0.927,0,0.751,-5.169,0.0798,127.971,0.388,41,0,0,0,0,0
Planetshakers.xlsx,44,Heaven On Earth,3,4kOynBgnYPS7VlGCRJ1vN9,Heaven On Earth,spotify:track:4kOynBgnYPS7VlGCRJ1vN9,0.000501,0.591,0.902,0.0000939,0.0883,-4.975,0.0793,127.982,0.574,41,0,0,0,0,0
Planetshakers.xlsx,112,Let's Go (Live),5,6abASt12sEOM4fpKNNP4qH,Home,spotify:track:6abASt12sEOM4fpKNNP4qH,0.00176,0.417,0.808,0,0.531,-7.56,0.0509,159.96,0.267,41,0,0,0,0,0
Planetshakers.xlsx,138,This Is Our Time (Live),5,0LpDJTnJrHNZrhDiHaa65J,Covered - Live,spotify:track:0LpDJTnJrHNZrhDiHaa65J,0.00045,0.239,0.694,0,0.425,-5.618,0.0381,169.966,0.166,41,0,0,0,0,0
Hillsong UNITED.xlsx,35,People (Live),17,3idBnwBTGNH1QGvTVfWoQY,Holy Ground - Acoustic,spotify:track:3idBnwBTGNH1QGvTVfWoQY,0.875,0.44,0.176,0,0.108,-9.634,0.0316,93.246,0.0531,41,0,0,0,0,0
Hillsong UNITED.xlsx,99,Of Dirt And Grace (Live From The Land),11,5LVAjjCP8gdZtjKgdP9Pra,Captain - Adrift On The Sea Of Galilee,spotify:track:5LVAjjCP8gdZtjKgdP9Pra,0.549,0.32,0.328,0.00000821,0.129,-11.623,0.035,125.049,0.122,41,0,0,0,0,0
Hillsong UNITED.xlsx,100,Of Dirt And Grace (Live From The Land),12,6eeurUzhIiuXSiifn2dezq,Closer Than You Know - From A Quiet Place Beneath An Olive Tree,spotify:track:6eeurUzhIiuXSiifn2dezq,0.138,0.138,0.289,0.00258,0.103,-11.243,0.0335,75.589,0.0744,41,0,0,0,0,0
Hillsong UNITED.xlsx,219,Live In Miami,8,22gXAKnTEaMIBUDOQWgxJI,Bones - Live,spotify:track:22gXAKnTEaMIBUDOQWgxJI,0.609,0.383,0.42,0.000387,0.47,-8.414,0.0304,94.068,0.0798,41,0,0,0,0,0
Hillsong UNITED.xlsx,229,Live In Miami,8,7dcX4P7koRDPZjnfhBIuIe,With Everything - Live,spotify:track:7dcX4P7koRDPZjnfhBIuIe,0.00141,0.291,0.914,0.000221,0.711,-5.219,0.0723,137.044,0.0926,41,0,0,0,0,0
Passion.xlsx,18,Follow You Anywhere (Live),7,52zMLutXNrudtVisjYka57,More To Come - Live,spotify:track:52zMLutXNrudtVisjYka57,0.0663,0.255,0.567,0,0.101,-7.745,0.0384,149.801,0.135,41,0,0,0,0,0
Passion.xlsx,48,Worthy Of Your Name (Live),6,1WktjCdKvumcuyilDG2WlN,Heart Abandoned - Live,spotify:track:1WktjCdKvumcuyilDG2WlN,0.304,0.211,0.455,0,0.0667,-7.771,0.0343,139.305,0.121,41,0,0,0,1,0
Passion.xlsx,135,Passion: Let The Future Begin,1,4t7zkjpvUeOi41k4Q9ZiRx,God's Great Dance Floor - Live,spotify:track:4t7zkjpvUeOi41k4Q9ZiRx,0.00018,0.517,0.956,0.00159,0.215,-4.709,0.0675,127.985,0.193,41,0,1,0,0,0
Passion.xlsx,195,Passion: Here For You (Live),1,35xxlDrbgHAbOMYLoTrImH,Here For You - Live,spotify:track:35xxlDrbgHAbOMYLoTrImH,0.0142,0.363,0.638,0,0.722,-6.088,0.0303,170.088,0.136,41,0,0,0,0,0
Passion.xlsx,197,Passion: Here For You (Live),3,3oSQOGiP2Zl0NukkKJOgwx,Waiting Here For You - Live,spotify:track:3oSQOGiP2Zl0NukkKJOgwx,0.416,0.259,0.393,0.00000125,0.946,-8.008,0.0347,127.552,0.113,41,0,0,0,0,0
Hillsong Young & Free.xlsx,37,lll (Studio Sessions),7,605HzlCGazSahORIE9FHqT,How Deep Is The Love - Acoustic,spotify:track:605HzlCGazSahORIE9FHqT,0.792,0.446,0.186,0.00063,0.108,-13.337,0.0292,133.97,0.0471,41,1,0,0,0,0
